,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2104661,2,2025-08-25 09:01:17,2025-08-25 09:15:36,1.0,5.1,1.0,N,162,88,1,23.3,0.0,0.5,5.61,0.0,1.0,33.66,2.5,0.0,0.75
705749,1,2025-08-09 00:19:20,2025-08-09 00:41:43,4.0,3.4,1.0,N,229,158,1,19.8,4.25,0.5,5.1,0.0,1.0,30.65,2.5,0.0,0.75
2454994,1,2025-08-29 09:43:04,2025-08-29 09:57:37,1.0,4.8,1.0,N,137,261,1,22.6,3.25,0.5,1.0,0.0,1.0,28.35,2.5,0.0,0.75
2695750,2,2025-08-01 08:37:33,2025-08-01 08:58:37,,6.82,,,229,231,0,27.42,0.0,0.5,0.0,0.0,1.0,32.17,,,0.75
48829,7,2025-08-01 16:50:53,2025-08-01 16:50:53,1.0,2.67,1.0,N,138,179,1,15.6,0.0,0.5,5.0,0.0,1.0,31.35,0.0,6.75,0.0
2117282,2,2025-08-25 12:24:02,2025-08-25 12:34:19,1.0,1.13,1.0,N,161,164,1,10.7,0.0,0.5,3.09,0.0,1.0,18.54,2.5,0.0,0.75
2049631,1,2025-08-24 14:34:02,2025-08-24 14:58:16,1.0,3.4,1.0,N,236,68,1,21.2,3.25,0.5,4.0,0.0,1.0,29.95,2.5,0.0,0.75
708833,2,2025-08-09 01:52:26,2025-08-09 02:14:23,1.0,2.69,1.0,N,68,144,1,19.8,1.0,0.5,3.83,0.0,1.0,29.38,2.5,0.0,0.75
1945785,2,2025-08-23 10:54:57,2025-08-23 11:12:30,1.0,2.94,1.0,N,113,87,1,17.7,0.0,0.5,4.49,0.0,1.0,26.94,2.5,0.0,0.75
3527216,2,2025-08-30 18:06:45,2025-08-30 18:23:56,,3.36,,,158,88,0,-4.75,0.0,0.5,0.0,0.0,1.0,1.0,,,0.75
497026,2,2025-08-06 19:36:32,2025-08-06 20:14:09,2.0,17.18,1.0,N,132,212,2,66.0,2.5,0.5,0.0,6.94,1.0,78.69,0.0,1.75,0.0
1025035,2,2025-08-12 22:50:32,2025-08-12 23:00:41,1.0,2.08,1.0,N,114,164,1,12.1,1.0,0.5,3.57,0.0,1.0,21.42,2.5,0.0,0.75
1622514,2,2025-08-19 19:18:44,2025-08-19 19:36:21,1.0,7.5,1.0,N,132,203,2,30.3,2.5,0.5,0.0,0.0,1.0,36.05,0.0,1.75,0.0
2535303,2,2025-08-30 02:59:39,2025-08-30 03:13:42,1.0,3.23,1.0,N,186,87,1,17.0,1.0,0.5,1.0,0.0,1.0,23.75,2.5,0.0,0.75
1651928,1,2025-08-20 08:39:47,2025-08-20 08:50:15,1.0,1.5,1.0,N,170,161,1,10.7,3.25,0.5,3.1,0.0,1.0,18.55,2.5,0.0,0.75
1360428,2,2025-08-16 15:30:03,2025-08-16 15:33:44,1.0,0.91,1.0,N,238,142,1,6.5,0.0,0.5,2.1,0.0,1.0,12.6,2.5,0.0,0.0
136205,1,2025-08-02 16:37:16,2025-08-02 17:05:00,1.0,4.6,1.0,N,186,151,1,28.2,3.25,0.5,6.6,0.0,1.0,39.55,2.5,0.0,0.75
957587,2,2025-08-12 11:39:27,2025-08-12 11:48:15,1.0,0.87,1.0,N,236,262,2,8.6,0.0,0.5,0.0,0.0,1.0,12.6,2.5,0.0,0.0
268787,2,2025-08-04 11:03:42,2025-08-04 11:16:32,1.0,1.7,1.0,N,107,230,1,13.5,0.0,0.5,3.65,0.0,1.0,21.9,2.5,0.0,0.75
1594215,2,2025-08-19 14:55:30,2025-08-19 15:22:26,1.0,3.92,1.0,N,170,125,1,26.8,0.0,0.5,6.31,0.0,1.0,37.86,2.5,0.0,0.75
3525511,1,2025-08-30 17:51:19,2025-08-30 18:01:52,,1.7,,,161,50,0,10.7,0.0,0.5,2.31,0.0,1.0,17.76,,,0.75
1747081,2,2025-08-21 00:26:31,2025-08-21 00:42:32,1.0,3.51,1.0,N,114,142,1,19.1,1.0,0.5,4.97,0.0,1.0,29.82,2.5,0.0,0.75
2302939,2,2025-08-27 15:23:52,2025-08-27 16:00:08,1.0,2.84,1.0,N,107,107,2,30.3,0.0,0.5,0.0,0.0,1.0,35.05,2.5,0.0,0.75
1604565,2,2025-08-19 15:58:54,2025-08-19 16:12:05,1.0,1.66,1.0,N,164,224,1,13.5,2.5,0.5,1.0,0.0,1.0,21.75,2.5,0.0,0.75
787927,2,2025-08-10 00:23:16,2025-08-10 00:45:12,1.0,2.36,1.0,N,68,141,1,18.4,1.0,0.5,4.0,0.0,1.0,28.15,2.5,0.0,0.75
1215760,2,2025-08-14 21:24:28,2025-08-14 21:34:33,1.0,2.12,1.0,N,163,263,1,12.8,1.0,0.5,1.0,0.0,1.0,19.55,2.5,0.0,0.75
2306959,2,2025-08-27 16:05:33,2025-08-27 16:14:26,1.0,1.26,1.0,N,237,161,1,10.0,2.5,0.5,3.45,0.0,1.0,20.7,2.5,0.0,0.75
1419249,1,2025-08-17 09:22:27,2025-08-17 09:48:36,1.0,3.6,99.0,N,62,91,1,23.5,0.0,0.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0
914329,2,2025-08-11 18:47:34,2025-08-11 18:56:01,2.0,1.47,1.0,N,249,13,2,10.0,2.5,0.5,0.0,0.0,1.0,17.25,2.5,0.0,0.75
1270433,2,2025-08-15 14:02:44,2025-08-15 14:39:42,1.0,3.61,1.0,N,186,143,1,31.7,0.0,0.5,7.29,0.0,1.0,43.74,2.5,0.0,0.75
1858501,1,2025-08-22 11:17:43,2025-08-22 11:34:04,1.0,2.9,1.0,N,161,151,1,15.6,3.25,0.5,4.05,0.0,1.0,24.4,2.5,0.0,0.75
2947251,2,2025-08-09 12:13:50,2025-08-09 12:33:01,,2.94,,,237,249,0,19.89,0.0,0.5,0.0,0.0,1.0,24.64,,,0.75
3383347,2,2025-08-24 19:00:34,2025-08-24 19:17:19,,5.87,,,181,14,0,21.86,0.0,0.5,0.0,0.0,1.0,23.36,,,0.0
668293,2,2025-08-08 16:13:21,2025-08-08 16:17:19,3.0,0.7,1.0,N,13,12,2,5.8,2.5,0.5,0.0,0.0,1.0,13.05,2.5,0.0,0.75
317047,1,2025-08-04 20:43:00,2025-08-04 20:53:23,1.0,1.6,1.0,N,161,234,1,11.4,4.25,0.5,3.4,0.0,1.0,20.55,2.5,0.0,0.75
1609770,2,2025-08-19 17:08:11,2025-08-19 17:22:06,1.0,1.26,1.0,N,233,163,1,13.5,2.5,0.5,4.15,0.0,1.0,24.9,2.5,0.0,0.75
977592,2,2025-08-12 14:25:31,2025-08-12 14:46:31,4.0,2.78,1.0,N,239,233,1,20.5,0.0,0.5,5.05,0.0,1.0,30.3,2.5,0.0,0.75
2469257,2,2025-08-29 12:23:00,2025-08-29 12:32:00,1.0,0.98,1.0,N,161,163,4,-10.0,0.0,-0.5,0.0,0.0,-1.0,-14.75,-2.5,0.0,-0.75
3173907,2,2025-08-17 06:24:30,2025-08-17 06:37:31,,3.3,,,36,61,0,24.58,0.0,0.5,0.0,0.0,1.0,26.08,,,0.0
3093042,2,2025-08-14 22:23:46,2025-08-14 22:35:49,,3.1,,,166,244,0,14.51,0.0,0.5,0.0,0.0,1.0,16.01,,,0.0
1460717,2,2025-08-17 18:39:20,2025-08-17 19:02:51,1.0,1.49,1.0,N,249,148,1,19.8,0.0,0.5,2.0,0.0,1.0,26.55,2.5,0.0,0.75
3296515,2,2025-08-22 07:25:25,2025-08-22 07:41:19,,5.79,,,220,168,0,11.57,0.0,0.5,0.0,0.0,1.0,17.04,,,0.0
1661109,1,2025-08-20 10:28:06,2025-08-20 10:40:42,1.0,0.8,1.0,N,162,100,1,11.4,3.25,0.5,4.85,0.0,1.0,21.0,2.5,0.0,0.75
1118652,2,2025-08-13 20:34:37,2025-08-13 20:46:45,1.0,2.3,1.0,N,13,68,2,14.2,1.0,0.5,0.0,0.0,1.0,19.95,2.5,0.0,0.75
3038478,2,2025-08-12 23:52:16,2025-08-13 00:04:16,,2.43,,,113,232,0,11.2,0.0,0.5,0.0,0.0,1.0,15.95,,,0.75
613453,2,2025-08-07 22:49:09,2025-08-07 23:05:02,1.0,2.41,1.0,N,186,148,1,16.3,1.0,0.5,3.0,0.0,1.0,25.05,2.5,0.0,0.75
1631980,2,2025-08-19 20:19:21,2025-08-19 20:30:24,1.0,3.37,1.0,N,141,41,1,15.6,1.0,0.5,2.0,0.0,1.0,22.6,2.5,0.0,0.0
2686157,1,2025-08-31 23:07:12,2025-08-31 23:18:58,1.0,1.4,1.0,N,48,90,2,11.4,4.25,0.5,0.0,0.0,1.0,17.15,2.5,0.0,0.75
483951,2,2025-08-06 17:19:20,2025-08-06 17:27:12,1.0,0.8,1.0,N,163,141,1,8.6,2.5,0.5,0.0,0.0,1.0,15.85,2.5,0.0,0.75
85154,2,2025-08-01 23:30:02,2025-08-01 23:35:45,1.0,1.44,1.0,N,43,233,2,8.6,1.0,0.5,0.0,0.0,1.0,14.35,2.5,0.0,0.75
8872,2,2025-08-01 07:16:42,2025-08-01 07:30:13,6.0,2.18,1.0,N,140,161,1,14.9,0.0,0.5,3.93,0.0,1.0,23.58,2.5,0.0,0.75
1261364,2,2025-08-15 13:11:36,2025-08-15 13:14:49,1.0,0.21,1.0,N,90,90,1,5.1,0.0,0.5,2.0,0.0,1.0,11.85,2.5,0.0,0.75
951311,2,2025-08-12 09:43:38,2025-08-12 09:53:23,2.0,0.89,1.0,N,140,263,2,10.0,0.0,0.5,0.0,0.0,1.0,14.0,2.5,0.0,0.0
699839,2,2025-08-08 22:30:01,2025-08-08 22:36:06,1.0,1.26,1.0,N,186,249,1,8.6,1.0,0.5,2.87,0.0,1.0,17.22,2.5,0.0,0.75
2545711,2,2025-08-30 10:47:11,2025-08-30 10:51:26,4.0,0.61,1.0,N,230,43,1,5.8,0.0,0.5,0.0,0.0,1.0,10.55,2.5,0.0,0.75
2155180,2,2025-08-25 19:06:51,2025-08-25 19:19:58,1.0,1.54,1.0,N,162,48,1,12.8,2.5,0.5,0.0,0.0,1.0,20.05,2.5,0.0,0.75
596432,2,2025-08-07 19:51:53,2025-08-07 20:13:19,1.0,4.98,1.0,N,48,41,2,26.1,2.5,0.5,0.0,0.0,1.0,33.35,2.5,0.0,0.75
551406,2,2025-08-07 12:33:54,2025-08-07 12:38:44,1.0,0.35,1.0,N,161,161,1,5.8,0.0,0.5,2.11,0.0,1.0,12.66,2.5,0.0,0.75
1021031,2,2025-08-12 21:11:49,2025-08-12 21:45:57,1.0,4.6,1.0,N,236,249,1,32.4,1.0,0.5,9.54,0.0,1.0,47.69,2.5,0.0,0.75
2579164,1,2025-08-30 17:23:58,2025-08-30 17:45:26,2.0,8.3,1.0,N,68,243,1,35.9,3.25,0.5,10.15,0.0,1.0,50.8,2.5,0.0,0.75
1196988,2,2025-08-14 17:34:07,2025-08-14 18:12:10,2.0,6.93,1.0,N,261,262,1,39.4,2.5,0.5,9.33,0.0,1.0,55.98,2.5,0.0,0.75
2572916,2,2025-08-30 16:41:06,2025-08-30 16:46:30,1.0,0.75,1.0,N,236,237,2,7.2,0.0,0.5,0.0,0.0,1.0,11.2,2.5,0.0,0.0
3077414,2,2025-08-14 09:58:55,2025-08-14 10:14:37,,2.31,,,163,43,0,14.41,0.0,0.5,0.0,0.0,1.0,19.16,,,0.75
541310,2,2025-08-07 10:44:06,2025-08-07 11:02:20,1.0,2.03,1.0,N,161,113,1,17.0,0.0,0.5,4.35,0.0,1.0,26.1,2.5,0.0,0.75
1152716,1,2025-08-14 10:18:07,2025-08-14 10:24:37,2.0,1.1,1.0,N,230,246,1,8.6,3.25,0.5,5.0,0.0,1.0,18.35,2.5,0.0,0.75
21847,2,2025-08-01 11:40:28,2025-08-01 11:43:34,4.0,0.86,1.0,N,151,238,1,5.8,0.0,0.5,1.96,0.0,1.0,11.76,2.5,0.0,0.0
2889677,2,2025-08-07 15:41:39,2025-08-07 16:01:12,,2.27,,,163,249,0,22.73,0.0,0.5,0.0,0.0,1.0,27.48,,,0.75
2147433,2,2025-08-25 18:05:48,2025-08-25 18:05:56,1.0,0.01,2.0,N,161,161,2,70.0,5.0,0.5,0.0,0.0,1.0,79.75,2.5,0.0,0.75
2794319,2,2025-08-03 19:10:59,2025-08-03 19:29:07,,2.53,,,225,80,0,16.41,0.0,0.5,0.0,0.0,1.0,17.91,,,0.0
26880,2,2025-08-01 12:42:06,2025-08-01 12:55:16,1.0,2.29,1.0,N,161,239,1,14.2,0.0,0.5,2.05,0.0,1.0,21.0,2.5,0.0,0.75
2430189,2,2025-08-28 21:11:14,2025-08-28 21:21:32,1.0,1.07,1.0,N,161,230,2,9.3,1.0,0.5,0.0,0.0,1.0,15.05,2.5,0.0,0.75
3189765,1,2025-08-17 18:06:10,2025-08-17 18:19:03,,2.1,,,236,143,0,13.5,0.0,0.5,3.5,0.0,1.0,21.0,,,0.0
2733441,2,2025-08-02 06:40:06,2025-08-02 07:00:06,,4.14,,,76,85,0,22.36,0.0,0.5,0.0,0.0,1.0,23.86,,,0.0
3440915,2,2025-08-27 14:43:58,2025-08-27 15:01:39,,2.11,,,263,163,0,16.56,0.0,0.5,0.0,0.0,1.0,21.31,,,0.75
3334444,2,2025-08-23 13:34:42,2025-08-23 14:22:12,,19.46,,,35,126,0,22.45,0.0,0.5,0.0,6.94,1.0,30.89,,,0.0
1411807,2,2025-08-17 02:44:18,2025-08-17 03:04:35,2.0,11.21,1.0,N,132,173,2,44.3,1.0,0.5,0.0,0.0,1.0,48.55,0.0,1.75,0.0
3360675,2,2025-08-24 01:38:25,2025-08-24 01:49:47,,2.37,,,36,255,0,1.29,0.0,0.5,0.0,0.0,1.0,2.79,,,0.0
3297612,2,2025-08-22 08:48:54,2025-08-22 09:00:13,,1.55,,,79,249,0,-1.56,0.0,0.5,0.0,0.0,1.0,4.19,,,0.75
346872,2,2025-08-05 09:57:46,2025-08-05 10:20:04,1.0,7.45,1.0,N,132,38,1,32.4,0.0,0.5,2.0,0.0,1.0,37.65,0.0,1.75,0.0
927837,1,2025-08-11 21:46:14,2025-08-11 21:58:30,1.0,1.4,1.0,N,161,68,1,12.1,4.25,0.5,3.55,0.0,1.0,21.4,2.5,0.0,0.75
1625936,2,2025-08-19 19:34:53,2025-08-19 19:40:51,2.0,1.09,1.0,N,186,249,2,7.9,2.5,0.5,0.0,0.0,1.0,17.65,2.5,0.0,0.75
306307,2,2025-08-04 18:40:50,2025-08-04 18:51:10,1.0,2.46,1.0,N,13,246,1,14.2,2.5,0.5,3.22,0.0,1.0,24.67,2.5,0.0,0.75
2863387,2,2025-08-06 17:05:53,2025-08-06 17:11:30,,0.0,,,162,141,0,5.85,0.0,0.5,0.0,0.0,1.0,10.6,,,0.75
926343,2,2025-08-11 20:56:26,2025-08-11 21:11:48,2.0,1.45,1.0,N,161,186,1,14.2,1.0,0.5,2.0,0.0,1.0,21.95,2.5,0.0,0.75
1534252,2,2025-08-18 17:44:45,2025-08-18 17:54:21,2.0,1.23,1.0,N,68,158,1,10.7,2.5,0.5,3.59,0.0,1.0,21.54,2.5,0.0,0.75
349921,2,2025-08-05 10:25:37,2025-08-05 10:30:00,1.0,0.76,1.0,N,236,237,2,6.5,0.0,0.5,0.0,0.0,1.0,10.5,2.5,0.0,0.0
505474,1,2025-08-06 20:19:49,2025-08-06 20:31:54,1.0,6.3,1.0,N,70,112,1,24.7,7.75,0.5,10.2,0.0,1.0,44.15,0.0,1.75,0.0
500020,2,2025-08-06 19:09:19,2025-08-06 19:20:11,2.0,1.74,1.0,N,113,231,1,12.1,2.5,0.5,3.87,0.0,1.0,23.22,2.5,0.0,0.75
2819574,2,2025-08-04 20:46:23,2025-08-04 21:04:49,,6.3,,,129,41,0,-8.44,0.0,0.5,0.0,6.94,1.0,4.5,,,0.0
3168587,1,2025-08-17 02:42:15,2025-08-17 03:05:49,,8.6,,,256,85,0,26.12,0.0,0.5,0.0,0.0,1.0,27.62,,,0.0
2295012,2,2025-08-27 14:52:44,2025-08-27 14:59:35,2.0,1.22,1.0,N,143,238,1,8.6,0.0,0.5,3.15,0.0,1.0,15.75,2.5,0.0,0.0
834833,1,2025-08-10 18:08:20,2025-08-10 18:23:49,2.0,2.0,1.0,N,50,234,1,13.5,3.25,0.5,4.55,0.0,1.0,22.8,2.5,0.0,0.75
3378110,2,2025-08-24 16:17:11,2025-08-24 16:48:42,,10.04,,,129,244,0,34.1,0.0,0.5,0.0,6.94,1.0,42.54,,,0.0
1155449,2,2025-08-14 10:13:47,2025-08-14 10:36:07,1.0,4.27,1.0,N,42,140,1,25.4,0.0,0.5,8.0,0.0,1.0,37.4,2.5,0.0,0.0
956634,1,2025-08-12 10:01:15,2025-08-12 10:24:03,1.0,7.9,99.0,N,167,53,1,32.5,0.0,0.5,0.0,6.94,0.0,39.94,0.0,0.0,0.0
2363652,1,2025-08-28 09:31:12,2025-08-28 09:48:07,1.0,1.2,1.0,N,249,234,1,14.9,3.25,0.5,3.0,0.0,1.0,22.65,2.5,0.0,0.75
2255985,2,2025-08-26 23:07:30,2025-08-26 23:17:26,1.0,2.44,1.0,N,246,239,1,13.5,1.0,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
276225,2,2025-08-04 12:59:08,2025-08-04 13:05:18,1.0,0.83,1.0,N,161,162,1,7.9,0.0,0.5,1.0,0.0,1.0,13.65,2.5,0.0,0.75
1057565,2,2025-08-13 12:12:43,2025-08-13 12:18:32,2.0,0.75,1.0,N,143,239,1,7.2,0.0,0.5,2.24,0.0,1.0,13.44,2.5,0.0,0.0
1473266,2,2025-08-17 21:09:35,2025-08-17 21:19:11,1.0,1.42,1.0,N,163,142,1,10.7,1.0,0.5,4.93,0.0,1.0,21.38,2.5,0.0,0.75
1097799,2,2025-08-13 18:17:00,2025-08-13 18:41:30,1.0,2.49,1.0,N,143,68,1,21.9,2.5,0.5,5.83,0.0,1.0,34.98,2.5,0.0,0.75
1168640,1,2025-08-14 13:28:45,2025-08-14 13:43:47,2.0,2.1,1.0,N,211,137,1,14.9,3.25,0.5,3.9,0.0,1.0,23.55,2.5,0.0,0.75
1970136,2,2025-08-23 15:03:54,2025-08-23 15:14:25,1.0,2.07,1.0,N,142,75,1,12.8,0.0,0.5,1.68,0.0,1.0,18.48,2.5,0.0,0.0
2778628,2,2025-08-03 08:09:21,2025-08-03 08:33:43,,7.01,,,232,239,0,30.72,0.0,0.5,0.0,0.0,1.0,35.47,,,0.75
3374621,2,2025-08-24 13:43:45,2025-08-24 14:04:58,,3.22,,,170,43,0,17.61,0.0,0.5,0.0,0.0,1.0,22.36,,,0.75
3422020,2,2025-08-26 16:35:36,2025-08-26 16:57:58,,0.0,,,244,238,0,20.8,0.0,0.5,0.0,0.0,1.0,24.8,,,0.0
1095000,2,2025-08-13 17:01:31,2025-08-13 17:13:36,1.0,1.36,1.0,N,164,229,2,12.1,2.5,0.5,0.0,0.0,1.0,19.35,2.5,0.0,0.75
2040895,2,2025-08-24 12:40:39,2025-08-24 12:54:59,5.0,1.6,1.0,N,137,100,1,14.2,0.0,0.5,2.0,0.0,1.0,20.95,2.5,0.0,0.75
2722473,2,2025-08-01 23:56:12,2025-08-02 00:10:32,,6.42,,,88,141,0,23.57,0.0,0.5,0.0,0.0,1.0,28.32,,,0.75
571680,2,2025-08-07 15:41:16,2025-08-07 16:42:34,1.0,18.87,2.0,N,132,237,1,70.0,0.0,0.5,10.0,6.94,1.0,92.69,2.5,1.75,0.0
1417188,1,2025-08-17 08:07:33,2025-08-17 08:15:53,1.0,1.0,1.0,N,162,170,1,8.6,3.25,0.5,0.0,0.0,1.0,13.35,2.5,0.0,0.75
1648678,2,2025-08-20 07:20:52,2025-08-20 07:26:34,1.0,1.03,1.0,N,186,137,1,7.9,0.0,0.5,1.0,0.0,1.0,13.65,2.5,0.0,0.75
348101,2,2025-08-05 10:02:46,2025-08-05 10:12:52,1.0,1.46,1.0,N,50,238,1,11.4,0.0,0.5,1.0,0.0,1.0,17.15,2.5,0.0,0.75
60101,2,2025-08-01 18:41:55,2025-08-01 19:02:06,1.0,2.43,1.0,N,43,137,2,19.8,2.5,0.5,0.0,0.0,1.0,27.05,2.5,0.0,0.75
2548825,1,2025-08-30 11:35:56,2025-08-30 11:43:48,2.0,0.9,1.0,N,144,148,1,8.6,3.25,0.5,1.0,0.0,1.0,14.35,2.5,0.0,0.75
1695978,2,2025-08-20 16:06:41,2025-08-20 16:28:00,1.0,1.75,1.0,N,143,100,1,19.1,2.5,0.5,5.27,0.0,1.0,31.62,2.5,0.0,0.75
2230850,2,2025-08-26 18:29:29,2025-08-26 18:42:34,1.0,1.96,1.0,N,236,161,1,14.2,2.5,0.5,4.29,0.0,1.0,25.74,2.5,0.0,0.75
949304,2,2025-08-12 09:01:38,2025-08-12 09:09:28,1.0,0.96,1.0,N,229,161,2,9.3,0.0,0.5,0.0,0.0,1.0,14.05,2.5,0.0,0.75
3024292,2,2025-08-12 10:43:37,2025-08-12 10:48:30,,0.81,,,263,262,0,-4.0,0.0,0.5,0.0,0.0,1.0,3.0,,,0.0
1921446,2,2025-08-22 23:53:34,2025-08-23 00:27:33,1.0,18.96,2.0,N,132,249,1,70.0,0.0,0.5,16.34,6.94,1.0,99.78,2.5,1.75,0.75
1872821,2,2025-08-22 14:01:36,2025-08-22 14:21:54,1.0,7.74,1.0,N,132,76,1,31.7,0.0,0.5,6.64,0.0,1.0,41.59,0.0,1.75,0.0
470233,1,2025-08-06 15:38:17,2025-08-06 15:57:49,1.0,1.3,1.0,N,163,68,2,16.3,3.25,0.5,0.0,0.0,1.0,21.05,2.5,0.0,0.75
3064884,2,2025-08-13 21:19:55,2025-08-13 21:31:17,,1.22,,,161,48,0,13.27,0.0,0.5,0.0,0.0,1.0,18.02,,,0.75
714662,2,2025-08-09 03:20:26,2025-08-09 03:24:09,2.0,0.45,1.0,N,79,79,1,5.1,1.0,0.5,1.0,0.0,1.0,11.85,2.5,0.0,0.75
2394928,2,2025-08-28 15:11:09,2025-08-28 15:40:02,1.0,3.95,1.0,N,239,234,1,26.8,0.0,0.5,0.0,0.0,1.0,31.55,2.5,0.0,0.75
3285937,2,2025-08-21 20:52:15,2025-08-21 21:15:30,,7.9,,,236,231,0,-1.62,0.0,0.5,0.0,0.0,1.0,3.13,,,0.75
1820118,2,2025-08-21 20:02:04,2025-08-21 20:08:58,1.0,2.58,1.0,N,141,233,2,12.8,1.0,0.5,0.0,0.0,1.0,18.55,2.5,0.0,0.75
2669144,1,2025-08-31 19:27:56,2025-08-31 19:33:38,1.0,0.8,1.0,N,148,148,1,6.5,3.25,0.5,2.25,0.0,1.0,13.5,2.5,0.0,0.75
1876073,2,2025-08-22 14:40:07,2025-08-22 15:00:35,1.0,2.6,1.0,N,113,163,2,19.1,0.0,0.5,0.0,0.0,1.0,23.85,2.5,0.0,0.75
2076157,2,2025-08-24 19:17:31,2025-08-24 19:25:15,2.0,1.57,1.0,N,163,50,2,10.0,0.0,0.5,0.0,0.0,1.0,14.75,2.5,0.0,0.75
3299741,2,2025-08-22 11:38:47,2025-08-22 12:07:41,,9.3,,,164,192,0,-5.89,0.0,0.5,0.0,0.0,1.0,-1.14,,,0.75
3066914,2,2025-08-13 21:31:28,2025-08-13 21:42:07,,1.35,,,249,48,0,11.7,0.0,0.5,0.0,0.0,1.0,16.45,,,0.75
3354699,2,2025-08-23 23:44:12,2025-08-24 00:14:38,,4.88,,,164,75,0,-5.86,0.0,0.5,0.0,0.0,1.0,0.89,,,0.75
372646,2,2025-08-05 14:10:10,2025-08-05 14:15:26,1.0,0.58,1.0,N,137,170,1,6.5,0.0,0.5,2.25,0.0,1.0,13.5,2.5,0.0,0.75
1904875,2,2025-08-22 19:14:58,2025-08-22 19:22:40,1.0,0.88,1.0,N,161,237,1,8.6,2.5,0.5,3.17,0.0,1.0,19.02,2.5,0.0,0.75
292846,2,2025-08-04 15:38:15,2025-08-04 15:45:16,4.0,1.23,1.0,N,100,163,2,8.6,0.0,0.5,0.0,0.0,1.0,13.35,2.5,0.0,0.75
1967194,2,2025-08-23 15:08:33,2025-08-23 15:18:44,1.0,2.18,1.0,N,142,236,1,12.8,0.0,0.5,3.36,0.0,1.0,20.16,2.5,0.0,0.0
2361584,1,2025-08-28 08:32:58,2025-08-28 09:11:39,1.0,9.4,1.0,N,138,161,1,44.3,10.0,0.5,12.5,6.94,1.0,75.24,2.5,1.75,0.75
2937501,2,2025-08-09 02:14:02,2025-08-09 02:27:40,,2.13,,,125,164,0,14.07,0.0,0.5,0.0,0.0,1.0,18.82,,,0.75
1901855,2,2025-08-22 19:50:05,2025-08-22 19:54:27,1.0,0.91,1.0,N,229,161,1,6.5,2.5,0.5,0.0,0.0,1.0,13.75,2.5,0.0,0.75
977433,7,2025-08-12 14:05:32,2025-08-12 14:05:32,1.0,7.92,1.0,N,13,237,1,37.3,0.0,0.5,8.26,0.0,1.0,49.56,2.5,0.0,0.0
1988666,1,2025-08-23 18:27:17,2025-08-23 19:16:39,2.0,3.8,1.0,N,239,164,1,39.4,3.25,0.5,0.0,0.0,1.0,44.15,2.5,0.0,0.75
1037300,2,2025-08-13 07:36:09,2025-08-13 07:41:11,1.0,0.68,1.0,N,230,48,2,6.5,0.0,0.5,0.0,0.0,1.0,11.25,2.5,0.0,0.75
208112,2,2025-08-03 14:26:45,2025-08-03 14:36:11,1.0,1.28,1.0,N,142,100,1,10.0,0.0,0.5,0.0,0.0,1.0,14.75,2.5,0.0,0.75
3117673,2,2025-08-15 19:48:27,2025-08-15 20:03:39,,0.39,,,79,68,0,14.07,0.0,0.5,0.0,0.0,1.0,18.82,,,0.75
26359,1,2025-08-01 12:52:02,2025-08-01 13:07:40,1.0,1.4,1.0,N,264,264,2,14.9,3.25,0.5,0.0,0.0,1.0,19.65,2.5,0.0,0.75
2858877,2,2025-08-06 12:54:57,2025-08-06 13:12:33,,1.81,,,237,170,0,-4.75,0.0,0.5,0.0,0.0,1.0,4.92,,,0.75
1525328,2,2025-08-18 16:06:47,2025-08-18 16:19:12,1.0,1.99,1.0,N,164,125,1,12.8,2.5,0.5,2.0,0.0,1.0,22.05,2.5,0.0,0.75
318841,2,2025-08-04 20:16:27,2025-08-04 20:40:39,1.0,9.9,1.0,N,138,238,2,41.5,7.5,0.5,0.0,6.94,1.0,61.69,2.5,1.75,0.0
417309,2,2025-08-05 22:47:40,2025-08-05 22:57:43,5.0,2.29,1.0,N,170,237,1,13.5,1.0,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
2300853,2,2025-08-27 15:16:49,2025-08-27 15:40:33,1.0,3.96,1.0,N,161,75,1,24.7,0.0,0.5,8.84,0.0,1.0,38.29,2.5,0.0,0.75
2078799,2,2025-08-24 19:45:55,2025-08-24 19:56:51,1.0,0.86,1.0,N,48,186,1,10.7,0.0,0.5,3.09,0.0,1.0,18.54,2.5,0.0,0.75
